pipeline,max_depth,min_samples_leaf,fold,train_rows,validation_rows,mae,mse,rmse,r2
with_pca,5,5,1,264,67,6.028575092422715,63.27501199126211,7.954559195283049,0.6142636913804891
with_pca,5,10,1,264,67,5.548375689649083,61.4150794071191,7.836777361078921,0.6256021883117507
with_pca,5,20,1,264,67,6.673462195956233,77.07332386392285,8.779141408128863,0.5301466012458254
with_pca,none,1,1,264,67,9.358955223880598,212.07227611940303,14.56270153918575,-0.29283226310779376
with_pca,none,5,1,264,67,6.46055377872542,69.94952959886413,8.36358353810519,0.5735745835834354
with_pca,none,10,1,264,67,5.530292721118354,59.68820926319448,7.725814472480845,0.6361295117182594
with_pca,none,20,1,264,67,6.673462195956233,77.07332386392285,8.779141408128863,0.5301466012458254
without_pca,2,1,2,265,66,7.987921214882936,178.9794741613799,13.378321051663393,0.39222246451839304
without_pca,2,5,2,265,66,7.987921214882936,178.9794741613799,13.378321051663393,0.39222246451839304
without_pca,2,10,2,265,66,7.987921214882936,178.9794741613799,13.378321051663393,0.39222246451839304
without_pca,2,20,2,265,66,7.47237615388333,172.80832259824192,13.14565793706203,0.41317842779687264
without_pca,3,1,2,265,66,6.764453239110889,147.4220798907013,12.14174945758235,0.4993848942099708
without_pca,3,5,2,265,66,6.764453239110889,147.4220798907013,12.14174945758235,0.4993848942099708
without_pca,3,10,2,265,66,6.885389878229344,149.47273743028447,12.225904360426041,0.4924212823692026
without_pca,3,20,2,265,66,6.769224326609248,147.05074562938347,12.126448186892297,0.5006458690968459
without_pca,4,1,2,265,66,6.9619695186583055,171.57700812917926,13.098740707761921,0.41735971884667733
without_pca,4,5,2,265,66,6.868670440924446,168.13598076146306,12.966725907547481,0.4290447410698939
without_pca,4,10,2,265,66,6.636125569223978,156.51646316436614,12.5106539862777,0.46850223641531585
without_pca,4,20,2,265,66,6.886244243826532,152.84445722328323,12.363027833960547,0.4809716144353501
without_pca,5,1,2,265,66,6.537374841186172,165.75132311672775,12.874444575076929,0.4371425486708804
without_pca,5,5,2,265,66,6.450384964262085,159.25912811378183,12.619791127977587,0.45918870953510704
without_pca,5,10,2,265,66,6.538075724780272,155.10498663346462,12.45411524892333,0.47329532082547543
without_pca,5,20,2,265,66,6.858108978126048,152.51694724104115,12.34977518989885,0.4820837710711062
without_pca,none,1,2,265,66,6.112121212121211,133.40977272727272,11.550314832387588,0.546967811491988
without_pca,none,5,2,265,66,6.164181096681096,151.23039314598174,12.297576718442611,0.48645264454569204
without_pca,none,10,2,265,66,6.475126695694877,150.80189341472345,12.280142239189392,0.48790774162785167
without_pca,none,20,2,265,66,6.858108978126048,152.51694724104115,12.34977518989885,0.4820837710711062
with_pca,2,1,2,265,66,9.14703544494833,205.10707456563784,14.32155978117041,0.3034984996271459
with_pca,2,5,2,265,66,9.14703544494833,205.10707456563784,14.32155978117041,0.3034984996271459
with_pca,2,10,2,265,66,9.14703544494833,205.10707456563784,14.32155978117041,0.3034984996271459
with_pca,2,20,2,265,66,9.14703544494833,205.10707456563784,14.32155978117041,0.3034984996271459
with_pca,3,1,2,265,66,8.411454306647968,193.0618580546651,13.894670131192935,0.3444015810541281
with_pca,3,5,2,265,66,8.411454306647968,193.0618580546651,13.894670131192935,0.3444015810541281
with_pca,3,10,2,265,66,8.531611042861043,185.70856285029743,13.627492904063367,0.36937186134978706
with_pca,3,20,2,265,66,8.833715168930686,189.94655016669586,13.78210978648392,0.3549805268203289
with_pca,4,1,2,265,66,8.054156548058987,192.791155833846,13.884925488955496,0.3453208301992591
with_pca,4,5,2,265,66,8.19994769119769,190.7471228285194,13.81112315593918,0.3522619464822374
with_pca,4,10,2,265,66,8.1997049681077,170.95167721120808,13.074849032061826,0.4194832142137622
with_pca,4,20,2,265,66,8.822957593173111,189.72465005417715,13.77405713848237,0.35573405402863933
with_pca,5,1,2,265,66,8.086520511881012,195.4145377311406,13.979074995547473,0.33641236406572284
with_pca,5,5,2,265,66,8.144171972373382,196.59633639801964,14.02128155333954,0.3323992185105875
with_pca,5,10,2,265,66,8.185643826613077,171.94275296529509,13.11269434423357,0.4161177244998331
with_pca,5,20,2,265,66,8.53284645039739,183.94066483912337,13.562472666852582,0.37537527990517605
with_pca,none,1,2,265,66,8.868939393939394,251.3900378787879,15.855284225733321,0.1463310618019107
with_pca,none,5,2,265,66,8.490151515151515,217.432980501443,14.745608854891106,0.2616422545613736
with_pca,none,10,2,265,66,8.088253540131884,165.7830942894417,12.87567840113451,0.43703466029350124
with_pca,none,20,2,265,66,8.53284645039739,183.94066483912337,13.562472666852582,0.37537527990517605
without_pca,2,1,3,265,66,6.196119257086998,73.2606124546016,8.559241348075284,0.5131856779060451
without_pca,2,5,3,265,66,6.196119257086998,73.2606124546016,8.559241348075284,0.5131856779060451
without_pca,2,10,3,265,66,6.196119257086998,73.2606124546016,8.559241348075284,0.5131856779060451
